#{"t_start": 1696590095.593497, "env_id": "None"}
r,l,t
783.451342,240,48300.4204
991.272546,240,48320.938968
790.274324,240,48341.422164
891.293966,240,48361.884244
886.110404,240,48382.475463
989.492943,240,48403.052621
994.991718,240,48423.577402
887.980387,240,48444.068144
1093.854324,240,48464.611943
993.466746,240,48485.193218
682.283052,240,48505.961181
682.443906,240,48526.437155
787.556237,240,48546.991701
1292.875825,240,48567.510329
890.781162,240,48588.056456
1095.651504,240,48608.508501
991.968022,240,48629.004428
991.529402,240,48649.483693
578.072635,240,48670.008574
788.794369,240,48690.509127
783.79506,240,48711.01166
692.250417,240,48731.553705
782.533171,240,48752.036875
787.589734,240,48772.565989
781.24968,240,48793.086603
786.159525,240,48813.644361
786.284712,240,48834.193126
683.76576,240,48854.68924
585.173241,240,48875.302025
789.312991,240,48895.836121
783.592544,240,48916.308493
885.694913,240,48937.014972
684.485594,240,48957.520374
991.713999,240,48978.273949
890.407343,240,48998.790206
783.563097,240,49019.245183
675.658931,240,49039.88758
888.848624,240,49060.433058
888.571357,240,49080.954299
1089.888045,240,49101.459176
889.193926,240,49122.027907
988.603991,240,49142.542443
782.939152,240,49163.105021
775.648898,240,49183.595018
685.476928,240,49204.099527
985.530937,240,49224.603445
790.484049,240,49245.140377
884.435928,240,49265.608865
890.235336,240,49286.157573
779.985293,240,49306.650117
890.345006,240,49327.240962
1192.574833,240,49347.785248
681.208536,240,49368.524815
784.423106,240,49389.023639
789.503106,240,49409.743481
1090.311824,240,49430.293784
891.630695,240,49450.809816
884.873222,240,49471.434468
578.958739,240,49491.898242
785.017951,240,49512.478946
890.81035,240,49533.023066
570.293443,240,49553.55232
988.785393,240,49574.072184
979.280996,240,49594.588287
783.8304,240,49615.088485
579.021798,240,49635.615489
991.536247,240,49656.083293
891.090893,240,49676.634671
886.959111,240,49697.203382
1092.387619,240,49717.705538
786.151884,240,49738.203268
1093.154128,240,49758.675942
886.953291,240,49779.238073
982.876862,240,49799.755825
1093.832624,240,49820.270145
990.065993,240,49840.761064
993.522119,240,49861.313281
785.490573,240,49881.985982
779.383205,240,49902.517996
784.79801,240,49923.024194
1093.066938,240,49943.54214
783.113088,240,49964.150495
684.859194,240,49984.676539
781.15467,240,50005.206721
788.381618,240,50025.856622
991.901841,240,50046.424341
685.233913,240,50066.983227
1086.428103,240,50087.467828
1088.517827,240,50108.017102
788.74277,240,50128.538572
883.292576,240,50149.067736
779.92894,240,50169.558952
989.880085,240,50190.104713
1086.575049,240,50210.63226
1292.216977,240,50231.154084
471.708273,240,50251.710759
1089.110937,240,50272.29097
686.658113,240,50292.776085
887.357017,240,50313.53522
989.154929,240,50334.041371
787.480566,240,50354.527734
787.387663,240,50375.029529
581.284392,240,50395.5493
889.562762,240,50416.084115
889.327919,240,50436.615304
788.269575,240,50457.127956
781.929841,240,50477.645439
581.880821,240,50498.084059
675.33116,240,50518.646976
890.925993,240,50539.173728
682.047991,240,50559.742996
990.33873,240,50580.279145
681.764521,240,50600.821103
781.829806,240,50621.423535
683.752175,240,50641.942625
876.640117,240,50662.549889
1086.682141,240,50683.053718
991.652631,240,50703.584591
892.789453,240,50724.162012
680.264098,240,50744.702598
785.117847,240,50765.326242
1093.299971,240,50785.922672
770.57578,240,50806.477219
582.070538,240,50827.018263
579.851568,240,50847.669591
875.888754,240,50868.228112
683.297421,240,50888.75741
1089.772872,240,50909.39035
991.080676,240,50929.933985
1086.769965,240,50950.431592
887.570431,240,50970.971494
986.640132,240,50991.453975
784.984674,240,51011.996588
778.792696,240,51032.490436
995.424363,240,51053.039742
686.364021,240,51073.582498
784.934284,240,51094.11689
790.608826,240,51114.672815
680.704525,240,51135.183204
1187.532507,240,51155.779825
1185.777707,240,51176.292591
890.196901,240,51196.836641
783.925467,240,51217.556263
572.004597,240,51238.055212
881.295572,240,51258.549752
1092.358205,240,51279.069575
985.930297,240,51299.608122
887.786538,240,51320.140676
679.015992,240,51340.692008
685.766506,240,51361.198467
783.421108,240,51381.732399
679.892815,240,51402.287166
887.487327,240,51422.81712
791.025718,240,51443.338622
779.624925,240,51463.930119
683.210778,240,51484.461463
1194.115217,240,51504.986383
778.588889,240,51525.570538
990.8885,240,51546.097477
887.688609,240,51566.59436
1192.297364,240,51587.137884
790.559025,240,51607.693957
787.759189,240,51628.173048
988.788519,240,51648.691584
789.433755,240,51669.961794
888.530177,240,51691.507159
683.662678,240,51712.03854
788.19945,240,51732.578195
676.821355,240,51753.146388
883.115754,240,51773.725087
784.428381,240,51794.232182
783.930528,240,51814.831612
1194.301913,240,51835.340154
883.314769,240,51855.870056
890.46662,240,51876.343301
784.470059,240,51896.798578
785.025797,240,51917.321265
884.761543,240,51937.883946
891.001663,240,51958.419559
887.195087,240,51978.955715
778.274122,240,51999.490403
992.000713,240,52019.979229
679.143638,240,52040.507724
782.676063,240,52061.045346
686.269182,240,52081.582106
890.459992,240,52102.136717
888.991557,240,52122.870672
988.729072,240,52143.395302
781.988207,240,52163.909671
785.30462,240,52184.44774
889.410879,240,52204.893538
785.614279,240,52225.381961
787.562123,240,52245.88677
992.156477,240,52266.372562
679.614257,240,52286.922633
783.203533,240,52307.397145
883.399857,240,52327.911762
887.145176,240,52348.538215
684.750998,240,52369.078465
787.292801,240,52389.584916
886.780993,240,52410.097749
581.076267,240,52430.647676
773.03058,240,52451.155937
789.941167,240,52471.69873
1092.796279,240,52492.212732
784.361522,240,52512.709413
778.78297,240,52533.219649
891.242811,240,52553.719928
1195.789215,240,52574.528856
680.406785,240,52595.031343
476.6985,240,52615.559095
784.713238,240,52636.238486
683.148861,240,52656.849185
583.04052,240,52677.384651
887.566248,240,52697.850143
674.603869,240,52718.474167
790.118178,240,52739.037361
680.898216,240,52759.566834
779.813597,240,52780.037622
678.650247,240,52800.550116
577.495543,240,52821.075371
579.024968,240,52841.585571
781.545647,240,52862.061488
786.473839,240,52882.554541
577.034022,240,52903.163247
685.187718,240,52923.683835
988.33307,240,52944.212289
685.173629,240,52966.372017
990.481701,240,52988.085861
889.179659,240,53008.607654
784.06834,240,53029.354127
781.547967,240,53049.896104
887.738734,240,53070.389399
787.495336,240,53090.936358
683.32089,240,53111.445309
991.477332,240,53131.998432
985.775661,240,53152.5397
880.737494,240,53173.071592
888.83785,240,53193.543905
683.703371,240,53214.155508
681.013912,240,53234.665109
675.126186,240,53255.389855
785.951111,240,53275.886453
788.16623,240,53296.395078
1086.824991,240,53316.986377
988.422595,240,53337.475102
782.738969,240,53358.008007
886.571597,240,53378.498549
578.624004,240,53399.03248
988.964196,240,53419.578217
471.056432,240,53440.083817
578.779793,240,53460.599957
982.837632,240,53481.398135
789.458489,240,53501.863918
582.081628,240,53522.359554
1089.70115,240,53542.922478
785.182497,240,53563.535464
982.413604,240,53584.053435
990.241766,240,53604.596792
685.156301,240,53625.19075
887.49662,240,53645.760182
694.347699,240,53666.285763
889.162588,240,53686.782392
889.973721,240,53707.26963
989.891107,240,53727.847237
889.729832,240,53748.370336
992.444105,240,53768.921306
582.213452,240,53789.408645
787.674595,240,53809.914266
884.455162,240,53830.408453
991.011765,240,53850.97074
789.206646,240,53871.470245
785.309648,240,53892.029919
888.969072,240,53912.614128
786.417387,240,53933.363663
786.753526,240,53953.893363
679.230547,240,53974.447135
472.55695,240,53994.95095
579.757674,240,54015.468474
786.451996,240,54036.011101
786.865456,240,54056.493248
681.572933,240,54077.030737
885.637573,240,54097.454704
887.769945,240,54117.951349
786.525372,240,54138.446177
785.491802,240,54159.087126
787.179722,240,54179.632259
785.922504,240,54200.146018
673.186043,240,54220.673237
887.628417,240,54241.173908
1095.441922,240,54261.707767
890.180519,240,54282.210284
788.788116,240,54302.760215
785.221302,240,54323.287391
886.269404,240,54343.775212
885.567561,240,54364.499405
990.739884,240,54385.198231
787.776961,240,54405.677275
581.340801,240,54426.213506
683.049258,240,54446.743103
886.56301,240,54467.298624
881.191959,240,54487.797781
889.506565,240,54508.418267
582.871867,240,54528.954113
789.724773,240,54549.471681
884.367241,240,54569.969815
888.917369,240,54590.491988
1190.825008,240,54610.967338
680.450661,240,54631.44536
781.413013,240,54651.944453
1091.796,240,54672.488224
572.043049,240,54693.006613
891.444506,240,54713.479485
986.707094,240,54733.989173
575.990454,240,54754.508733
679.22261,240,54774.942981
786.456608,240,54795.424744
784.829914,240,54815.871711
580.737968,240,54836.606228
680.022847,240,54857.125909
786.185132,240,54877.646132
681.805671,240,54898.147159
783.256253,240,54918.653574
987.0864,240,54939.130248
879.940702,240,54959.670735
1090.814865,240,54980.142916
580.60151,240,55000.640971
884.437399,240,55021.093064
885.280786,240,55041.596219
580.782166,240,55062.201033
886.769815,240,55082.702957
785.784519,240,55103.233563
1291.785224,240,55123.817298
784.882808,240,55144.278559
1092.841844,240,55164.771657
1088.684069,240,55185.279681
684.265418,240,55205.768456
786.693429,240,55226.256653
981.302409,240,55246.774156
785.107861,240,55267.575011
678.148107,240,55288.114038
890.641517,240,55308.620416
889.141223,240,55329.113613
889.403033,240,55349.654316
786.286809,240,55370.180727
1193.314126,240,55390.701207
6.604131,240,55411.324078
886.420155,240,55431.857507
682.57839,240,55452.388247
986.344169,240,55472.854462
885.879153,240,55493.358735
781.594764,240,55513.861509
1092.195995,240,55534.369722
687.356362,240,55554.855046
679.891973,240,55575.40466
577.453633,240,55595.949002
1092.605879,240,55616.39113
887.021099,240,55636.85906
883.162786,240,55657.405952
1188.622056,240,55677.927659
885.567588,240,55698.467433
783.346534,240,55718.954938
783.28536,240,55739.718712
684.427637,240,55760.248777
783.815073,240,55780.772212
680.845304,240,55801.286046
990.769654,240,55821.850308
991.015465,240,55842.306993
779.245956,240,55862.822536
884.722215,240,55883.322094
987.76479,240,55903.838999
782.033698,240,55924.287686
1092.327524,240,55944.801484
680.525537,240,55965.347826
991.72416,240,55985.892626
789.291326,240,56006.51662
890.275567,240,56027.082731
678.944252,240,56047.622452
681.531847,240,56068.107014
785.667334,240,56088.627702
787.253151,240,56109.116629
783.851112,240,56129.614694
787.801004,240,56150.1379
891.211011,240,56170.926342
780.783767,240,56191.464799
580.075924,240,56211.966174
991.813998,240,56232.417768
